gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG9244 mAcon1 Gene Expression,4434.396227992813,-0.8436443755677014,0.2568097948424726,-3.285094231258561,0.001019482694000216,0.12074108173188862,Sex_by_Treatment_Interaction,-0.8436443755677014,False
Dmel_CG6025 Arl1 Gene Expression,897.5622531449674,-1.063000698954936,0.3244845162180416,-3.2759674062248285,0.0010530071252546163,0.12124806139829358,Sex_by_Treatment_Interaction,-1.063000698954936,False
Dmel_CG10262 PCNA2 Gene Expression,286.5411798979835,-1.3286213051710076,0.4052645296229849,-3.2784051108716956,0.0010439545585669853,0.12124806139829358,Sex_by_Treatment_Interaction,-1.3286213051710076,False
Dmel_CG9553 chic Gene Expression,7958.889472247844,-0.7742033629337193,0.23717480929946347,-3.264273154558285,0.0010974530487464526,0.12486141412940294,Sex_by_Treatment_Interaction,-0.7742033629337193,False
Dmel_CG6665 CG6665 Gene Expression,461.55611818820984,-1.2754439062685357,0.3912708696409098,-3.2597466492690317,0.001115117744174578,0.12537859154207578,Sex_by_Treatment_Interaction,-1.2754439062685357,False
Dmel_CR43425 asRNA:CR43425 Gene Expression,325.75430052920433,-1.2528964540917973,0.38510432577751735,-3.2533949120468235,0.0011403489562359142,0.126724592729612,Sex_by_Treatment_Interaction,-1.2528964540917973,False
Dmel_CG8588 pst Gene Expression,257.65650897949286,1.2684824531781478,0.39220114225861485,3.2342650658108454,0.0012195621096925617,0.13396959864749208,Sex_by_Treatment_Interaction,1.2684824531781478,False
Dmel_CG43369 Mitf Gene Expression,596.525648401755,-1.1988332104132524,0.3730636110960067,-3.2134820302930494,0.001311360035121912,0.14241668017795583,Sex_by_Treatment_Interaction,-1.1988332104132524,False
Dmel_CG14971 CG14971 Gene Expression,276.63623260584757,-1.6060499758940683,0.5010842525457618,-3.2051495686294684,0.0013499231331422143,0.14449617076935353,Sex_by_Treatment_Interaction,-1.6060499758940683,False
Dmel_CG7266 MsrA Gene Expression,1180.4874557698638,-1.009224762396718,0.31510206381890954,-3.2028503722423207,0.0013607466118281699,0.14449617076935353,Sex_by_Treatment_Interaction,-1.009224762396718,False
Dmel_CG2656 CG2656 Gene Expression,430.4048207749004,-1.0773563990765977,0.33690927757005634,-3.1977641187176093,0.0013849751734356305,0.145452832225542,Sex_by_Treatment_Interaction,-1.0773563990765977,False
Dmel_CG1951 CG1951 Gene Expression,433.74204106246714,-1.05789432001705,0.332692917073762,-3.1797921318009372,0.0014738073209045115,0.14672058922796266,Sex_by_Treatment_Interaction,-1.05789432001705,False
Dmel_CG17515 Rab21 Gene Expression,1360.6909062964146,-1.1377698271683874,0.35779234598913345,-3.1799725173633053,0.0014728902042175072,0.14672058922796266,Sex_by_Treatment_Interaction,-1.1377698271683874,False
Dmel_CG5680 bsk Gene Expression,4424.659334018847,-0.7399641197085587,0.2319831304273772,-3.1897324531544156,0.0014240456271248502,0.14672058922796266,Sex_by_Treatment_Interaction,-0.7399641197085587,False
Dmel_CG4488 Wee1 Gene Expression,1391.0866182377822,-0.8537901491823465,0.26830979478183403,-3.182105781403074,0.0014620840712500046,0.14672058922796266,Sex_by_Treatment_Interaction,-0.8537901491823465,False
Dmel_CG7224 Sirup Gene Expression,4291.957415127147,0.8983966538995675,0.28185414005540976,3.1874523954941782,0.0014353208293397493,0.14672058922796266,Sex_by_Treatment_Interaction,0.8983966538995675,False
Dmel_CG6708 Osbp Gene Expression,458.09641333536445,-1.0617204984814859,0.334863546602049,-3.1706063835704157,0.0015212111908697677,0.1498785087746636,Sex_by_Treatment_Interaction,-1.0617204984814859,False
Dmel_CG14672 Spec2 Gene Expression,229.86013929945136,-1.243243892699735,0.3956346730221902,-3.1424037817585426,0.0016756677715250622,0.16341180502515326,Sex_by_Treatment_Interaction,-1.243243892699735,False
Dmel_CG9063 Rich Gene Expression,553.7049531367918,-1.0126878676249,0.3239350559627909,-3.1262064694264624,0.0017707718060824473,0.17094208233060554,Sex_by_Treatment_Interaction,-1.0126878676249,False
Dmel_CG11956 SP1029 Gene Expression,847.5419471398495,0.8347243953526555,0.2677620722672357,3.117410872588303,0.0018244710362186852,0.17436469693141973,Sex_by_Treatment_Interaction,0.8347243953526555,False
Dmel_CG1780 Idgf4 Gene Expression,259.7110660817967,1.405622055146337,0.45192785112606376,3.1102797750657847,0.001869102146433649,0.17512754130849395,Sex_by_Treatment_Interaction,1.405622055146337,False
Dmel_CG16987 daw Gene Expression,133.61004460277553,1.552947082591925,0.49899022880481037,3.1121793432940947,0.0018571164118436749,0.17512754130849395,Sex_by_Treatment_Interaction,1.552947082591925,False
Dmel_CG11710 CG11710 Gene Expression,673.0079885442808,-0.9948503896031025,0.3216096586724269,-3.093347363103917,0.0019791233225107405,0.1836357436236422,Sex_by_Treatment_Interaction,-0.9948503896031025,False
Dmel_CG1763 nod Gene Expression,87.32411214129745,-2.026487466760482,0.6575510476859444,-3.0818709420235932,0.0020570400145669735,0.18772277669359466,Sex_by_Treatment_Interaction,-2.026487466760482,False
Dmel_CG5262 CG5262 Gene Expression,149.56587351262655,-1.410443717301359,0.45819079256148654,-3.0782890887360765,0.0020819284276499908,0.18772277669359466,Sex_by_Treatment_Interaction,-1.410443717301359,False
Dmel_CG32850 Rnf11 Gene Expression,2784.6471103079148,-1.1078224692081826,0.359885375154011,-3.0782647634238987,0.002082098391704618,0.18772277669359466,Sex_by_Treatment_Interaction,-1.1078224692081826,False
Dmel_CG9526 frj Gene Expression,1357.7708471299563,-0.9614956591409993,0.3139831436678794,-3.062252476069341,0.0021967807649432825,0.19403958071371336,Sex_by_Treatment_Interaction,-0.9614956591409993,False
Dmel_CG7113 scu Gene Expression,747.3065545640109,0.8310993415551877,0.27159749521531634,3.060040523924239,0.002213070450747594,0.19403958071371336,Sex_by_Treatment_Interaction,0.8310993415551877,False
Dmel_CG6151 fwe Gene Expression,8756.520583800419,-0.7618783716522601,0.24888894159955718,-3.061117809235827,0.0022051231194232085,0.19403958071371336,Sex_by_Treatment_Interaction,-0.7618783716522601,False
Dmel_CG3044 Cht11 Gene Expression,145.9903733568883,-1.4111898754405228,0.46349257405446737,-3.0446871307903343,0.002329224770044458,0.20236728297558984,Sex_by_Treatment_Interaction,-1.4111898754405228,False
Dmel_CG5708 CG5708 Gene Expression,1751.2990346927004,-0.8900194895725039,0.2926052980188285,-3.041706679949565,0.0023524100561870868,0.20254038654936923,Sex_by_Treatment_Interaction,-0.8900194895725039,False
Dmel_CG5444 Taf4 Gene Expression,2588.5145749713083,-0.8403047931486608,0.2784484181658836,-3.0178113371362563,0.002546073584811889,0.21725736830399303,Sex_by_Treatment_Interaction,-0.8403047931486608,False
Dmel_CG9258 nrv1 Gene Expression,189.89905730874673,-1.19622924894862,0.3971555932027385,-3.0119914447181744,0.002595399120950884,0.21950645485776635,Sex_by_Treatment_Interaction,-1.19622924894862,False
Dmel_CG1718 Abca3 Gene Expression,626.3162502064076,-0.8048795418009007,0.26792982972392665,-3.004068425789857,0.002663954045514516,0.22332814748230023,Sex_by_Treatment_Interaction,-0.8048795418009007,False
Dmel_CG3634 CG3634 Gene Expression,212.53661080247974,-1.3003602606596505,0.43429423548990165,-2.9941918505844107,0.0027517285818814455,0.22377067922591454,Sex_by_Treatment_Interaction,-1.3003602606596505,False
Dmel_CG9424 bocks Gene Expression,135.04230949516216,-1.413201901060003,0.4720418289709586,-2.9938065110474508,0.0027552060970581957,0.22377067922591454,Sex_by_Treatment_Interaction,-1.413201901060003,False
Dmel_CG7708 ChT Gene Expression,2843.009984218581,-0.6674841205639994,0.22276842938392843,-2.9963138062693315,0.00273265062029669,0.22377067922591454,Sex_by_Treatment_Interaction,-0.6674841205639994,False
Dmel_CG14464 CG14464 Gene Expression,3244.589209845436,-0.7354858307825897,0.245738886522306,-2.992956634544809,0.0027628900438064156,0.22377067922591454,Sex_by_Treatment_Interaction,-0.7354858307825897,False
Dmel_CG15067 BomBc2 Gene Expression,34.05136262892945,3.8447773689616414,1.2866953724094237,2.988102274559391,0.002807155994912115,0.22544529280147127,Sex_by_Treatment_Interaction,3.8447773689616414,False
Dmel_CG4966 HPS4 Gene Expression,733.4382690124661,-0.7468043485311406,0.25199598947668905,-2.9635564839027877,0.0030410624452533296,0.22740963169284042,Sex_by_Treatment_Interaction,-0.7468043485311406,False
Dmel_CG8245 CG8245 Gene Expression,3679.9472076987277,-0.7935638990058621,0.2671547692361576,-2.970427596238692,0.002973854975495015,0.22740963169284042,Sex_by_Treatment_Interaction,-0.7935638990058621,False
Dmel_CG18259 CG18259 Gene Expression,329.08939309754174,-0.9803643145407824,0.33011206319609293,-2.969792454868355,0.0029800100668470144,0.22740963169284042,Sex_by_Treatment_Interaction,-0.9803643145407824,False
Dmel_CG8184 HUWE1 Gene Expression,3108.1966832355874,-0.7467509098645575,0.25211467600764015,-2.9619493862464705,0.0030569803114801107,0.22740963169284042,Sex_by_Treatment_Interaction,-0.7467509098645575,False
Dmel_CG7145 P5CDh1 Gene Expression,6014.522104264879,-0.7309895209977214,0.24689885703060344,-2.9606841027502786,0.003069566023686975,0.22740963169284042,Sex_by_Treatment_Interaction,-0.7309895209977214,False
Dmel_CG10447 Nf-YB Gene Expression,503.5443616656342,-1.4765180694928324,0.49694011936106636,-2.9712192917554017,0.002966198974735711,0.22740963169284042,Sex_by_Treatment_Interaction,-1.4765180694928324,False
Dmel_CG1639 l(1)10Bb Gene Expression,940.3157165771768,-0.9564943071319769,0.32151953985290593,-2.9749181264988427,0.002930667551862065,0.22740963169284042,Sex_by_Treatment_Interaction,-0.9564943071319769,False
