gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG9151 acj6 Gene Expression,4957.943945615094,0.6902543809655359,0.15546778727452643,4.439854667428169,9.001964777988391e-06,0.0013269249682450344,Cocaine_vs_Sucrose_Male,0.6902543809655359,False
Dmel_CG6575 glec Gene Expression,9099.234358126285,0.8008867413701386,0.1806593928698182,4.433130924707865,9.28744283962195e-06,0.0013269249682450344,Cocaine_vs_Sucrose_Male,0.8008867413701386,False
Dmel_CG34200 Tom6 Gene Expression,4542.027880833017,1.015805838331418,0.22945501732837156,4.427036942398626,9.553637533806805e-06,0.0013436295537780476,Cocaine_vs_Sucrose_Male,1.015805838331418,True
Dmel_CG14331 CG14331 Gene Expression,203.2706940883785,1.413779599591484,0.3206625470874249,4.40893273141136,1.0388128272709237e-05,0.0014385160397331668,Cocaine_vs_Sucrose_Male,1.413779599591484,True
Dmel_CG40472 CG40472 Gene Expression,658.444905009477,1.123717562914919,0.2562098920559846,4.385925749773061,1.1549351633665811e-05,0.0015515778217108354,Cocaine_vs_Sucrose_Male,1.123717562914919,True
Dmel_CG3074 Swim Gene Expression,133.1166631809778,-1.9788478949077932,0.4509482295593083,-4.38819306784203,1.142962924306981e-05,0.0015515778217108354,Cocaine_vs_Sucrose_Male,-1.9788478949077932,True
Dmel_CG30173 HSPC300 Gene Expression,504.5156816168205,0.8666623916672669,0.19790791408952388,4.379119428620885,1.1915981935095213e-05,0.001576503567809001,Cocaine_vs_Sucrose_Male,0.8666623916672669,False
Dmel_CG34186 Polr2K Gene Expression,1527.4023842796578,0.9044759780422502,0.2066879779656384,4.376045413694154,1.208518455491846e-05,0.001576503567809001,Cocaine_vs_Sucrose_Male,0.9044759780422502,False
Dmel_CG17931 CG17931 Gene Expression,2315.1005898114927,1.1039786388284827,0.2528105360246277,4.366822111879617,1.2606731823868767e-05,0.001612201179472301,Cocaine_vs_Sucrose_Male,1.1039786388284827,True
Dmel_CG32706 CG32706 Gene Expression,686.8600074539128,-0.8330035948309811,0.19123735375046233,-4.3558623798880465,1.3254403653033027e-05,0.001612201179472301,Cocaine_vs_Sucrose_Male,-0.8330035948309811,False
Dmel_CG2767 CG2767 Gene Expression,271.2869429152893,-1.358440241723105,0.31129446199948413,-4.363843265947199,1.2779715475927542e-05,0.001612201179472301,Cocaine_vs_Sucrose_Male,-1.358440241723105,True
